Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,014022,2002,04,29,,,
IDCJAC0009,014022,2002,04,30,,,
IDCJAC0009,014022,2002,05,01,0.0,1,N
IDCJAC0009,014022,2002,05,02,0.0,1,N
IDCJAC0009,014022,2002,05,03,0.0,1,N
IDCJAC0009,014022,2002,05,04,,,
IDCJAC0009,014022,2002,05,05,,,
IDCJAC0009,014022,2002,05,06,,,
IDCJAC0009,014022,2002,05,07,,,
IDCJAC0009,014022,2002,05,08,,,
IDCJAC0009,014022,2002,05,09,,,
IDCJAC0009,014022,2002,05,10,,,
IDCJAC0009,014022,2002,05,11,,,
IDCJAC0009,014022,2002,05,12,,,
IDCJAC0009,014022,2002,05,13,,,
IDCJAC0009,014022,2002,05,14,,,
IDCJAC0009,014022,2002,05,15,,,
IDCJAC0009,014022,2002,05,16,,,
IDCJAC0009,014022,2002,05,17,,,
IDCJAC0009,014022,2002,05,18,,,
IDCJAC0009,014022,2002,05,19,,,
IDCJAC0009,014022,2002,05,20,,,
IDCJAC0009,014022,2002,05,21,,,
IDCJAC0009,014022,2002,05,22,,,
IDCJAC0009,014022,2002,05,23,,,
IDCJAC0009,014022,2002,05,24,,,
IDCJAC0009,014022,2002,05,25,0.0,1,N
IDCJAC0009,014022,2002,05,26,0.0,1,N
IDCJAC0009,014022,2002,05,27,2.8,1,N
IDCJAC0009,014022,2002,05,28,0.0,1,N
IDCJAC0009,014022,2002,05,29,0.0,1,N
IDCJAC0009,014022,2002,05,30,0.0,1,N
IDCJAC0009,014022,2002,05,31,0.0,1,N
IDCJAC0009,014022,2002,06,01,,,
IDCJAC0009,014022,2002,06,02,,,
IDCJAC0009,014022,2002,06,03,,,
IDCJAC0009,014022,2002,06,04,,,
IDCJAC0009,014022,2002,06,05,,,
IDCJAC0009,014022,2002,06,06,,,
IDCJAC0009,014022,2002,06,07,,,
IDCJAC0009,014022,2002,06,08,,,
IDCJAC0009,014022,2002,06,09,,,
IDCJAC0009,014022,2002,06,10,,,
IDCJAC0009,014022,2002,06,11,,,
IDCJAC0009,014022,2002,06,12,,,
IDCJAC0009,014022,2002,06,13,,,
IDCJAC0009,014022,2002,06,14,,,
IDCJAC0009,014022,2002,06,15,,,
IDCJAC0009,014022,2002,06,16,,,
IDCJAC0009,014022,2002,06,17,,,
IDCJAC0009,014022,2002,06,18,,,
IDCJAC0009,014022,2002,06,19,,,
IDCJAC0009,014022,2002,06,20,,,
IDCJAC0009,014022,2002,06,21,,,
IDCJAC0009,014022,2002,06,22,,,
IDCJAC0009,014022,2002,06,23,,,
IDCJAC0009,014022,2002,06,24,,,
IDCJAC0009,014022,2002,06,25,,,
IDCJAC0009,014022,2002,06,26,,,
IDCJAC0009,014022,2002,06,27,,,
IDCJAC0009,014022,2002,06,28,,,
